,algorithm,k,n,p,iters
0,ctrl,3,10,0.4888888888888889,4
1,tabucol,3,10,0.4888888888888889,8
2,ctrl,3,10,0.4888888888888889,4
3,tabucol,3,10,0.4888888888888889,4
4,ctrl,3,10,0.4888888888888889,4
5,tabucol,3,10,0.4888888888888889,3
6,ctrl,3,10,0.4888888888888889,7
7,tabucol,3,10,0.4888888888888889,7
8,ctrl,3,10,0.4888888888888889,12
9,tabucol,3,10,0.4888888888888889,5
10,ctrl,3,10,0.4888888888888889,14
11,tabucol,3,10,0.4888888888888889,10
12,ctrl,3,10,0.4888888888888889,5
13,tabucol,3,10,0.4888888888888889,15
14,ctrl,3,10,0.4888888888888889,3
15,tabucol,3,10,0.4888888888888889,5
16,ctrl,3,10,0.4888888888888889,9
17,tabucol,3,10,0.4888888888888889,7
18,ctrl,3,10,0.4888888888888889,3
19,tabucol,3,10,0.4888888888888889,2
20,ctrl,3,10,0.4888888888888889,5
21,tabucol,3,10,0.4888888888888889,0
22,ctrl,3,10,0.4888888888888889,3
23,tabucol,3,10,0.4888888888888889,5
24,ctrl,3,10,0.4888888888888889,6
25,tabucol,3,10,0.4888888888888889,4
26,ctrl,3,10,0.4888888888888889,9
27,tabucol,3,10,0.4888888888888889,6
28,ctrl,3,10,0.4888888888888889,4
29,tabucol,3,10,0.4888888888888889,4
30,ctrl,3,10,0.4888888888888889,5
31,tabucol,3,10,0.4888888888888889,7
32,ctrl,3,10,0.4888888888888889,5
33,tabucol,3,10,0.4888888888888889,7
34,ctrl,3,10,0.4888888888888889,5
35,tabucol,3,10,0.4888888888888889,8
36,ctrl,3,10,0.4888888888888889,4
37,tabucol,3,10,0.4888888888888889,4
38,ctrl,3,10,0.4888888888888889,14
39,tabucol,3,10,0.4888888888888889,30
40,ctrl,3,10,0.4888888888888889,-2
41,tabucol,3,10,0.4888888888888889,20
42,ctrl,3,10,0.4888888888888889,5
43,tabucol,3,10,0.4888888888888889,16
44,ctrl,3,10,0.4888888888888889,4
45,tabucol,3,10,0.4888888888888889,4
46,ctrl,3,10,0.4888888888888889,5
47,tabucol,3,10,0.4888888888888889,7
48,ctrl,3,10,0.4888888888888889,3
49,tabucol,3,10,0.4888888888888889,4
50,ctrl,3,10,0.4888888888888889,7
51,tabucol,3,10,0.4888888888888889,19
52,ctrl,3,10,0.4888888888888889,5
53,tabucol,3,10,0.4888888888888889,4
54,ctrl,3,10,0.4888888888888889,3
55,tabucol,3,10,0.4888888888888889,2
56,ctrl,3,10,0.4888888888888889,10
57,tabucol,3,10,0.4888888888888889,7
58,ctrl,3,10,0.4888888888888889,4
59,tabucol,3,10,0.4888888888888889,19
60,ctrl,3,10,0.4888888888888889,6
61,tabucol,3,10,0.4888888888888889,10
62,ctrl,3,10,0.4888888888888889,5
63,tabucol,3,10,0.4888888888888889,4
64,ctrl,3,10,0.4888888888888889,6
65,tabucol,3,10,0.4888888888888889,6
66,ctrl,3,10,0.4888888888888889,4
67,tabucol,3,10,0.4888888888888889,5
68,ctrl,3,10,0.4888888888888889,4
69,tabucol,3,10,0.4888888888888889,3
70,ctrl,3,10,0.4888888888888889,14
71,tabucol,3,10,0.4888888888888889,4
72,ctrl,3,10,0.4888888888888889,3
